Crop,Year,Yield_kg_ha,Area_Harvested_ha,Production_tonnes
Wheat,2000,2490.7,8463000,21078600.0
Wheat,2001,2325.4,8180800,19023700.0
Wheat,2002,2262.1,8057500,18226500.0
Wheat,2003,2387.8,8033900,19183300.0
Wheat,2004,2373.3,8216200,19499800.0
Wheat,2005,2585.8,8358000,21612300.0
Wheat,2006,2518.6,8447900,21276900.0
Wheat,2007,2715.6,8578000,23294600.0
Wheat,2008,2451.4,8549800,20958800.0
Wheat,2009,2656.8,9046000,24033000.0
Wheat,2010,2552.8,9131600,23310800.0
Wheat,2011,2832.8,8900700,25213800.0
Wheat,2012,2713.8,8649800,23473400.0
Wheat,2013,2795.7,8660077,24211360.0
Wheat,2014,2824.1,9199318,25979399.0
Wheat,2015,2725.6,9203874,25086174.0
Wheat,2016,2779.0,9223723,25633028.0
Wheat,2017,2972.9,8972422,26673703.0
Wheat,2018,2850.5,8797227,25076149.0
Wheat,2019,2805.9,8677730,24348983.0
Wheat,2020,2867.5,8804677,25247511.0
Wheat,2021,2995.6,9168249,27464081.0
Wheat,2022,2919.6,8976900,26208672.0
Wheat,2023,3117.6,9032688,28160527.0
Wheat,2024,3268.3,9734249,31814444.0
Rice,2000,3031.2,2376600,7203900.0
Rice,2001,2754.2,2114200,5823000.0
Rice,2002,3019.2,2225000,6717750.0
Rice,2003,2955.1,2460600,7271400.0
Rice,2004,2991.4,2519600,7537200.0
Rice,2005,3174.2,2621400,8320800.0
Rice,2006,3160.4,2581200,8157600.0
Rice,2007,3317.6,2515400,8345100.0
Rice,2008,3519.9,2962600,10428000.0
Rice,2009,3580.9,2883100,10324050.0
Rice,2010,3058.8,2365300,7234950.0
Rice,2011,3593.9,2571200,9240600.0
Rice,2012,3596.6,2308800,8303850.0
Rice,2013,3752.8,2789169,10467150.0
Rice,2014,3633.9,2890646,10504200.0
Rice,2015,3724.0,2739495,10201840.0
Rice,2016,3771.6,2724013,10273968.0
Rice,2017,3852.6,2900595,11174815.5
Rice,2018,3842.7,2810030,10798000.0
Rice,2019,3665.3,3033959,11120483.0
Rice,2020,3786.3,3335585,12629514.0
Rice,2021,3953.2,3537369,13984009.0
Rice,2022,3690.3,2976239,10983081.0
Rice,2023,4066.2,3636994,14788853.0
Rice,2024,3740.6,3899215,14585231.0
Maize,2000,1708.6,961700,1643200.0
Maize,2001,1763.1,944000,1664400.0
Maize,2002,1844.8,941600,1737100.0
Maize,2003,2003.4,947100,1897400.0
Maize,2004,2848.8,981800,2797000.0
Maize,2005,2984.3,1042000,3109600.0
Maize,2006,3036.8,1017000,3088400.0
Maize,2007,3426.5,1052000,3604700.0
Maize,2008,3415.4,1052000,3593000.0
Maize,2009,3487.9,935100,3261500.0
Maize,2010,3805.2,974180,3706910.0
Maize,2011,3989.7,1087400,4338380.0
Maize,2012,3983.0,1059540,4220100.0
Maize,2013,4231.3,1168480,4944210.0
Maize,2014,4321.1,1142462,4936747.0
Maize,2015,4424.8,1191211,5270914.0
Maize,2016,4549.1,1348452,6134274.0
Maize,2017,4718.2,1250827,5901630.0
Maize,2018,4968.5,1373922,6826379.0
Maize,2019,5614.0,1404158,7883003.0
Maize,2020,6305.4,1417793,8939785.0
Maize,2021,5763.7,1652501,9524531.0
Maize,2022,6388.6,1719398,10984509.0
Maize,2023,5933.5,1641447,9739524.0
Maize,2024,6133.3,1500000,9200000.0
Sugar cane,2000,45882.9,1009800,46332600.0
Sugar cane,2001,45385.4,960800,43606300.0
Sugar cane,2002,48056.0,999700,48041600.0
Sugar cane,2003,47340.7,1099600,52055800.0
Sugar cane,2004,50088.4,1074500,53820000.0
Sugar cane,2005,48886.7,966400,47244100.0
Sugar cane,2006,49229.0,907300,44665500.0
Sugar cane,2007,53209.2,1028800,54741600.0
Sugar cane,2008,51494.4,1241300,63920000.0
Sugar cane,2009,48616.1,1029400,50045400.0
Sugar cane,2010,52368.4,942800,49372900.0
Sugar cane,2011,55997.3,987700,55308500.0
Sugar cane,2012,55216.5,1057600,58397000.0
Sugar cane,2013,57542.5,1172352,67460094.0
Sugar cane,2014,55087.2,1140492,62826458.0
Sugar cane,2015,57873.4,1131476,65482334.0
Sugar cane,2016,61997.3,1217508,75482253.0
Sugar cane,2017,62106.1,1341781,83332740.0
Sugar cane,2018,60959.4,1101946,67173975.0
Sugar cane,2019,63840.7,1039769,66379581.0
Sugar cane,2020,69534.1,1165030,81009261.0
Sugar cane,2021,70341.4,1260291,88650593.0
Sugar cane,2022,66711.2,1318837,87981135.0
Sugar cane,2023,74251.6,1180280,87637669.0
Sugar cane,2024,70602.6,1193092,84235451.0
Potatoes,2000,16907.8,110505,1868400.0
Potatoes,2001,16418.0,101453,1665660.0
Potatoes,2002,16448.6,105220,1730720.0
Potatoes,2003,16802.8,115832,1946300.0
Potatoes,2004,17667.3,109700,1938100.0
Potatoes,2005,18079.5,112000,2024900.0
Potatoes,2006,13344.7,117500,1568000.0
Potatoes,2007,19351.6,133400,2581500.0
Potatoes,2008,16455.0,154300,2539000.0
Potatoes,2009,20284.8,145000,2941300.0
Potatoes,2010,22682.3,138500,3141500.0
Potatoes,2011,21919.6,159300,3491800.0
Potatoes,2012,18340.5,185000,3393000.0
Potatoes,2013,21805.9,174369,3802275.0
Potatoes,2014,18150.6,159831,2901029.0
Potatoes,2015,23443.9,170517,3997579.0
Potatoes,2016,22434.6,177297,3977595.0
Potatoes,2017,21450.3,179620,3852897.0
